view_id,original,edited,question,label_correct,fluent,note
65,,"After Patel's arrest in July, investigators found his passport ""near"" the motel room where I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,”  he was living, the documents said.",Is Appeal_to_Authority PRESENT in the edited text?,,,
66,"TAOS, N.M. (AP) — The Latest on 11 children found living in a filthy, makeshift compound in New Mexico (all times local): 4 p.m. A representative of a New York mosque says the raid of a ramshackle compound in New Mexico is being used as propaganda against Muslims. Ali Abdul-Karim Judan, a spokesman for the mosque, said in a video posted Thursday on Facebook that the incident was a domestic situation that has nothing to do with extremism. The grandfather of a severely disabled boy, who authorities say was kidnapped by his father and taken to the compound, has said remains found there are those of his grandson. The man is an imam at the New York mosque. Judan also cast doubt on a contention by prosecutors that children found at the site were being trained to use assault rifles in preparation for school shootings. He said authorities should not have made that claim without stronger evidence. The mosque has attracted radicals over the years, including a man who later helped bomb the World Trade Center in 1993….","TAOS, N.M. kidnapped — The Latest on 11 children found living in a filthy, makeshift compound in New Mexico (all times local): 4 p.m. A representative of a New York mosque says the raid of a ramshackle compound in New Mexico is being used as propaganda against Muslims. Ali Abdul-Karim Judan, a spokesman for the mosque, said in a video posted Thursday on Facebook that the incident was a domestic situation that has nothing to do with extremism. The grandfather of a severely disabled boy, who authorities say was (AP) by his father and taken to the compound, has said remains found there are those of his grandson. The man is an imam at the New York mosque. Judan also cast doubt on a contention by prosecutors that children found at the site were being trained to use assault rifles in preparation for school shootings. He said authorities should not have made that claim without stronger evidence. The mosque has attracted radicals over the years, including a man who later helped bomb the World Trade Center in 1993….","Are all original techniques still present, unchanged? (Doubt, Exaggeration-Minimisation, Guilt_by_Association, Name_Calling-Labeling)",,,
67,,That's exactly it. And Dems have become from Henry VIII to the Soviet Union  honorary members of MS-13. And those who collaborate with illegal alien gang members should face the consequences.,Is Guilt_by_Association PRESENT in the edited text?,,,
68,"""Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,"" Fishback continues.","""  Fishback continues.",Is Appeal_to_Fear-Prejudice ABSENT in the edited text?,,,
69,"“My experience with it has been very positive. I’ve never known of anyone who has been pressured or felt ostracized,” said the Rev. David W. Dockery, senior pastor at First Baptist Church of Princeton. “Any time God’s word can be proclaimed is beneficial and is a good thing.”","“My experience with it has been very positive. I’ve never known of anyone who has been pressured or felt ostracized,” said the Rev. David W. Dockery, senior pastor at First Baptist Church of Princeton. “Any time God’s word can be proclaimed is   and is a good thing.”",Is Name_Calling-Labeling PRESENT in the edited text?,,,
70,DB: What would you say have been the contributions that Julian Assange has made in this age of censorship and cowardice in journalism? Where does he come into the picture?,DB: What would you say have been the contributions that Julian Assange has made in this age of censorship and cowardice in journalism? Where into he come does the picture?,"Are all original techniques still present, unchanged? (Loaded_Language)",,,
71,"Trumpism is not a detour, after which we can all get back on the interstate to the New World Order.","is not a detour, after which we can all get back on the interstate to the New World Order.",Is Repetition ABSENT in the edited text?,,,
72,,"What's amazing is that Democrats Enough is enough  cover for their own, ignoring the obvious hypocrisy they demonstrate when they opponents are accused of such things. Even one woman in the Loomer video says, why are they waiting till now to bring this forward?",Is Slogans PRESENT in the edited text?,,,
73,,"Email * After the Trumpian revolt, there is no going back ",Is False_Dilemma-No_Choice PRESENT in the edited text?,,,
74,"This email from Murillo was not just from some rogue staffer inside Google. Her original email was forwarded on to other Google executives by the aforementioned Gevelber, according to another email obtained by Breitbart News.","This email some rogue staffer inside Google from Murillo was not just from  . Her original email was forwarded on to other Google executives by the aforementioned Gevelber, according to another email obtained by Breitbart News.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
75,"“Why do we talk and investigate and get angry about an accidental fire in Grenfell, but are expected to immediately forget — or ‘not look back in anger’ — about the deliberate, ideology-driven murder of British children?"" Waters went on. “And why are Muslims allowed to cover their faces with a black sack while the rest of us are subject to strict security? Why are children being mutilated and forcefully raped while the law looks the other way? Forcefully married, child married, while the law looks the other way? Why? Why are animals slaughtered in agony and terror and Halal imposed on all of us in a country that has legislated against unstunned slaughter? Why?""","“Why do we talk and investigate and get angry about an accidental fire in Grenfell, but are expected to immediately forget — or ‘not look back in anger’ — about the deliberate, ideology-driven murder of British children?"" Waters went on. “And why are Muslims allowed to cover their faces with a black sack while the rest of us are subject to strict security? Why are children being   while the law looks the other way? Forcefully married, child married, while the law looks the other way? Why? Why are animals slaughtered in agony and terror and Halal imposed on all mutilated and forcefully raped of us in a country that has legislated against unstunned slaughter? Why?""",Is Loaded_Language still PRESENT after moving its span?,,,
76,"""The Obama administration misled the American people and Congress because they were desperate to get a deal with Iran,"" said Sen. Rob Portman, the Ohio Republican who chairs the subcommittee and opposed the Iran deal, formally known as the Joint Comprehensive Plan of Action.","American people ""The Obama administration misled the   and Congress because they were desperate to get a deal with Iran,"" said Sen. Rob Portman, the Ohio Republican who chairs the subcommittee and opposed the Iran deal, formally known as the Joint Comprehensive Plan of Action.",Is Flag_Waving still PRESENT after moving its span?,,,
77,"“There were a lot of us in the run-up to Sept. 11 who had seen warning signs that something devastating might be in the planning stages. But we worked for ossified bureaucracies incapable of acting quickly and decisively. Lately, the two of us have been wondering how things might have been different if there had been a quick, confidential way to get information out.” The WikiLeaks Files: T... WikiLeaks Best Price: $2.50 Buy New $7.00 (as of 05:50 EDT - Details)","“There were a lot of us in the run-up to Sept. 11 who had seen warning signs that something devastating might be in the planning stages. But we worked for ossified bureaucracies incapable of acting quickly and decisively  . Lately, the two of us have been wondering how things might have been different if there had been a quick, confidential way to get information out.” The WikiLeaks Files: T... WikiLeaks Best Price: $2.50 Buy New $7.00 (as of 05:50 EDT - Details)",Is Doubt still PRESENT after moving its span?,,,
78,"“My case was usually something handled by military courts,” Saucier said. “They used me as an example because of [the backlash over] Hillary Clinton,” he continued, alleging his life was ruined for political reasons.","“My case was usually something handled by military courts,” Saucier said.  NO CRIME  he continued, alleging his life was ruined for political reasons.",Is Loaded_Language PRESENT and Causal_Oversimplification absent?,,,
79,"The second name was redacted. But the Las Vegas Review-Journal reported it had a version of the search warrant that named, without redaction, Haig as that second person. The documents didn't explain why he was a person of interest.","The the name was redacted. But second Las Vegas Review-Journal reported it had a version of the search warrant that named, without redaction, Haig as that second person. The documents didn't explain why he was a person of interest.","Are all original techniques still present, unchanged? ()",,,
80,Somewhere in the “community standards” that Facebook demands everyone follow is a real doozy.,Somewhere in the “community standards” that Facebook demands everyone follow  .,Is Loaded_Language ABSENT in the edited text?,,,
81,,"Sealed, unsealed–no more If he crosses, he joins Bush II in the history books  indictments.",Is Guilt_by_Association PRESENT in the edited text?,,,
82,Deeper malaise,malaise Deeper,"Are all original techniques still present, unchanged? ()",,,
83,"Amy Wilburn, a former Dallas cop shot an unarmed teen in the stomach as he sat down with his hands in the air in 2013. Days later, after her account was found to be entirely false, she was fired for it. Wilburn became the first cop in 41 years — since officer Darrell Cain murdered a 12-year-old boy in the back of his squad car — to be indicted for shooting a suspect.","Amy Wilburn, a former   in the stomach as he sat down with his hands in the air in 2013. Days later, after her account was found to be entirely false, she was fired for it. Wilburn became the first cop in 41 years — since officer Darrell Cain murdered a 12-year-old boy in the back of his squad car — to be indicted for shooting a suspect.",Is Appeal_to_Fear-Prejudice PRESENT in the edited text?,,,
84,"As for the nonsensical call to ban armor-piercing bullets, virtually every caliber of bullet, except maybe a .22 can pierce kevlar-based vests, and if you are using .22 magnums, they will even pierce those!","As for the   call to ban armor-piercing bullets, virtually every caliber of bullet, except maybe a .22 can pierce kevlar-based vests, and if you are using .22 magnums, they will even pierce those!",Is Loaded_Language ABSENT in the edited text?,,,
85,"DB: His journalistic brethren are sounding like his prosecutors. They want to get behind Russia-gate freaks like Congressman Adam Schiff and Mike Pompeo, who would like to see Assange in jail forever or even executed. How do you respond to journalists acting like prosecutors, some of whom used his material to do stories? This is a terrible time for journalism.","DB: His journalistic brethren are sounding like his prosecutors. They want to get behind Russia-gate freaks like Congressman Adam Schiff and Mike Pompeo, who would like to see Assange  . How do you respond to journalists acting like prosecutors, some of whom used his material to do stories? This is a terrible time for journalism.",Is Exaggeration-Minimisation ABSENT in the edited text?,,,
86,"When the Russians used chemical weapons in Great Britain, President Trump joined our allies and expelled 60 Russian intelligence officers from the United States.","When the Russians used chemical weapons in Great Britain, President Trump joined   allies and expelled 60 Russian intelligence officers from the United States.",Is Flag_Waving ABSENT in the edited text?,,,
87,"Of course, this leads many to believe that Campos didn’t even exist, to begin with. His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas.","Of course, this leads many to believe that Campos His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas didn’t even exist, to begin with.  .",Is Doubt still PRESENT after moving its span?,,,
88,Defining the Wicked…,"Defining  if the reforms are bad, then it is impossible that the Council is good and all the reforms are bad, because that is the authentic interpretation of the Council by Rome. …",Is Causal_Oversimplification PRESENT and Name_Calling-Labeling absent?,,,
89,"In his letter, Francis repeated a famous 2005 quote by his predecessor Benedict XVI, who, a month before being elected pope, lamented “how much filth” there was in the Catholic Church.","In his letter, Francis repeated a famous 2005 quote by his predecessor Benedict XVI, who, a month before being elected pope, lamented “ kill them wherever you find them ” there was in the Catholic Church.",Is Appeal_to_Fear-Prejudice PRESENT and Loaded_Language absent?,,,
90,"The result has been a quiet reign of terror in which elderly and disabled people have started carrying cards stating in legalese that they do not want to be killed by their doctors. In one case a man with ALS took the NHS to court in an ultimately unsuccessful attempt to preemptively preclude his medical murder when his illness left him incapacitated. The system, in other words, is stacked against the patient, in favour of the government that holds all the cards.","The result has been a quiet   in which elderly and disabled people have started carrying cards stating in legalese that they do not want to be killed by their doctors. In one case a man with ALS took the NHS to court in an ultimately unsuccessful attempt to preemptively preclude his medical murder when his illness left him incapacitated. The system, in other words, is stacked against the patient, in favour of the government that holds all the cards.",Is Loaded_Language ABSENT in the edited text?,,,
91,"Guy Cecil, the former head of the Democratic Senatorial Campaign Committee and now the boss of a leading Democratic super PAC, voiced his frustration with the inadequacy of Franken’s apology on Twitter. “That was not an apology and was an insufficient response to serious allegations,” Cecil tweeted. “Al Franken must be held accountable if our party wants to live up to our commitment to women & girls.”","Guy Cecil, the former head of the Democratic Senatorial Campaign Committee and Al Franken must be held accountable if our party wants to live up to our commitment to women & girls.” now the boss of a leading Democratic super PAC, voiced his frustration with the inadequacy of Franken’s apology on Twitter. “That was not an apology and was an insufficient response to serious allegations,” Cecil tweeted. “",Is Appeal_to_Fear-Prejudice still PRESENT after moving its span?,,,
92,Who should replace Nikki Haley as our ambassador to the U.N.? * John Bolton Richard Grenell Dina Powell Heather Nauert Ivanka Trump,Who should Grenell Nikki Haley as our ambassador to the U.N.? * John Bolton Richard replace Dina Powell Heather Nauert Ivanka Trump,"Are all original techniques still present, unchanged? ()",,,
93,"Because North Korea has scraped and skimped for decades to build nuclear weapons for the sole reason of deterring a major US attack, including the use by the US of tactical nuclear weapons. Pakistan ‘ate grass’ for decades to afford nuclear weapons to offset the threat from far more powerful India. Israel uses the same argument to justify its large nuclear arsenal.","Because North Korea has   for decades to build nuclear weapons for the sole reason of deterring a major US attack, including the use by the US of tactical nuclear scraped and skimped weapons. Pakistan ‘ate grass’ for decades to afford nuclear weapons to offset the threat from far more powerful India. Israel uses the same argument to justify its large nuclear arsenal.",Is Loaded_Language still PRESENT after moving its span?,,,
94,"Anyhow, they have now released a different photo (above)and it is the same guy, and he is black. This goes in our ""Black Murders Of White Cops"" category, and also in our ""Not Reporting Race"" category, since except for the photograph, there's no mention of the race issue.Officers Anthony Morelli and Eric Joering are dead, and Smith is alive in hospital. If these two men had survived, and Quentin Lamar Smith had died, you'd be hearing a lot about the race issue.","Anyhow, they have now released a different photo (above)and it is the same guy, and he is black. This goes in our ""Black Murders Of White Cops"" category, and also in our ""Not Reporting Race"" category, since except for Anthony photograph, there's no mention of the race issue.Officers the Morelli and Eric Joering are dead, and Smith is alive in hospital. If these two men had survived, and Quentin Lamar Smith had died, you'd be hearing a lot about the race issue.","Are all original techniques still present, unchanged? (Appeal_to_Hypocrisy, Loaded_Language, Red_Herring)",,,
95,,Yore called the child sex abuse SMASH THE STATE  case involving infamous Chilean priest abuser Father Fernando Karadima and Bishop Juan Barros “a scandal of epic proportions.”,Is Slogans PRESENT in the edited text?,,,
96,"""They don’t want a 'German life' in Germany in the sense that they are willing to accept German values,"" she added. ""Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values. They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""","""They don’t want a 'German life' in Germany in the sense that they are willing to accept German values,"" she added. ""Many, all too many, of  infuriating . They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""",Is Loaded_Language PRESENT and Appeal_to_Fear-Prejudice still present?,,,
97,"Instead, President Trump’s POLICIES have actually made life more difficult for Putin at every turn.","Instead, President Trump’s POLICIES have actually made life more difficult for every at Putin turn.","Are all original techniques still present, unchanged? (Loaded_Language)",,,
98,"“And I don’t think it’s politically correct to say we value that,"" she concluded. ""And I don’t want to go around insulting people. I don’t want to paint with a broad brush every immigrant is this, every African-American is that, every, you know, other person with different religious beliefs or whatever – that’s childish.”","“And I don’t think it’s politically correct to say we value that,"" she concluded. ""And I don’t want to go around insulting people. I don’t want to paint with a broad brush every immigrant is this, every African-American is that, every, you know, other person with different religious beliefs or whatever –  .”",Is Loaded_Language ABSENT in the edited text?,,,
99,"YouTube conspiracy theorist Jake Morphonios said that for all he knows, Doug Haig didn't play a role in Paddock's massacre. Even so, Morphonious still parlayed an innocent-until-proven-guilty stance into a 30-minute dissertation where he discussed a ""shadow government in the United States"" in the context of Haig's work for companies like Northrop Grumman.","Jake Morphonios said that for all he knows, Doug Haig didn't play a role in Paddock's massacre. Even so, Morphonious still parlayed an innocent-until-proven-guilty stance into a 30-minute dissertation where he discussed a ""shadow government in the United States"" in the YouTube conspiracy theorist context of Haig's work for companies like Northrop Grumman.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
100,"If that’s true, it would mean we just completed 2 years of investigating ‘Russian collusion’ without ONE collusion related indictment.","If that’s true, it would mean we just completed 2 years of investigating ‘Russian collusion’ without  while this is making major news, you should be reminded that for decades, at least 22 verified Islamic jihadi camps have existed on American soil under the watchful, or maybe not so watchful, eye of the FBI, including one in the very country I reside in within eyeshot of a nuclear power plant  collusion related indictment.",Is Whataboutism PRESENT and Loaded_Language absent?,,,
101,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.","Orban says there is not only  Well if the Pope is not going to intervene and impose zero tolerance, why should I  in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Is Appeal_to_Popularity PRESENT and Repetition absent?,,,
102,"As it is, the death penalty as administered by society must be viewed against the backdrop of divine revelation if it is to make any real sense. When Catholic society puts a man to death, it terminates only his temporal life on earth, catapulting him into eternity for his final judgment before almighty God. Suffering the penalty not only allows the criminal to render expiation to God and to society, but if accepted in Christ’s grace with due repentance, it preserves his soul from hell and eliminates much of his purgatory. If his contrition is perfect, it’s conceivable that he could go straight to heaven! In any case, neither he nor society is any longer burdened with the guilt of his wrongdoing.","As it is, the death penalty as administered by society must be viewed against the backdrop of divine revelation if it is to make any real sense. When Catholic society puts a man to death, it terminates only his temporal life on earth, catapulting him into eternity for his final judgment before almighty God.  Which is just Allen’s more nuanced way of saying: “Don’t believe it . If his contrition is perfect, it’s conceivable that he could go straight to heaven! In any case, neither he nor society is any longer burdened with the guilt of his wrongdoing.",Is Straw_Man PRESENT and Causal_Oversimplification absent?,,,
103,"[5] I’d love to hear from some monastic superior who had the nerve to tell Rome, “Actually, given that all our neighbours in religion are raging neo-modernist heretics, if not schismatics, we think ‘isolation’ is a desirable thing – like quarantine during an outbreak of Bubonic Plague – and would therefore like to be dispensed from the federation requirement.” I’d pay good money to see the shade of purple the well-fed Braz de’Aviz turned.","[5] I’d love to hear from some monastic superior who had the nerve to tell Rome, “Actually, given that all our neighbours in religion are raging neo-modernist heretics, if not schismatics, we think ‘isolation’ is a desirable thing – like quarantine during an outbreak of Bubonic Plague – and would therefore like to be dispensed from the federation requirement.” I’d pay good money to see the shade of purple the  seemingly covering up the ISIS connection  Braz de’Aviz turned.",Is Doubt PRESENT and Name_Calling-Labeling absent?,,,
104,"While government schools — and even many private schools — pretend religion played no significant role in history, my curriculum addresses the crucial role religion played in the development of Western civilization. However, the materials are drafted in such a way that any Christian, Jewish, Muslim, or atheist parent can feel comfortable using the curriculum.","While government schools — and even many private schools — pretend religion played no significant role in history, my curriculum addresses the  You whip ’em up. The poor, the middle income. You have to whip them up into a frenzy in order for them to vote.  role religion played in the development of Western civilization. However, the materials are drafted in such a way that any Christian, Jewish, Muslim, or atheist parent can feel comfortable using the curriculum.",Is Exaggeration-Minimisation PRESENT and Loaded_Language absent?,,,
105,"In any case, a larger point is being lost here. And that is that there is a war going on.",.,Is Appeal_to_Fear-Prejudice ABSENT in the edited text?,,,
106,"The solar system’s strange cigar-shaped visitor 'Oumuamua—Hawaiian for “scout” or “messenger”—is tumbling chaotically as the result of a violent collision. And the interstellar object will continue to spin for billions of years as it journeys through space, scientists have reported in a study published in Nature Astronomy.","The will system’s strange cigar-shaped visitor 'Oumuamua—Hawaiian for “scout” or “messenger”—is tumbling chaotically as the result of a violent collision. And the interstellar object solar continue to spin for billions of years as it journeys through space, scientists have reported in a study published in Nature Astronomy.","Are all original techniques still present, unchanged? (Loaded_Language)",,,
107,Horrifying Details Released: 2 Jihadi Muslims At Deadly NM Islamic Compound Hit With New Charges," hello, Russian proxy war)  Released: 2 Jihadi Muslims At Deadly NM Islamic Compound Hit With New Charges",Is Red_Herring PRESENT and Loaded_Language still present?,,,
108,"Currently, there's more Republicans in Congress than Democrats, which means the guy will be confirmed. There's an election 2 months away. The Democrats think that they'll take back the majority of Congress and will thus be able to block Trump's nomination. All they have to do is delay the confirmation until after the election. So, they dig up some Trump-hating woman from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress.","Currently, there's more Republicans in Congress than Democrats, which means the guy will be confirmed. There's an election 2 months away. The Democrats think that they'll take back the majority of Congress and will thus be able to block Trump's nomination. All they have to do is delay the confirmation until after the election. So, they dig up some  As Bertolt Brecht told Sidney Hook about Stalin’s victims, “the more innocent they are, the more they deserve to be shot.”  from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress.",Is Guilt_by_Association PRESENT and Name_Calling-Labeling absent?,,,
109,take our poll - story continues below,take poll our - story continues below,"Are all original techniques still present, unchanged? ()",,,
110,"Regarding Cupich, one cannot fail to note his ostentatious arrogance, and the insolence with which he denies the evidence that is now obvious to all: that 80% of the abuses found were committed against young adults by homosexuals who were in a relationship of authority over their victims.","Regarding Cupich, one cannot fail to note his  But what, Mr. Farage, are we to think about the Muslims who consider themselves and their religion to be at war with us , and the insolence with which he denies the evidence that is now obvious to all: that 80% of the abuses found were committed against young adults by homosexuals who were in a relationship of authority over their victims.",Is Whataboutism PRESENT and Loaded_Language absent?,,,
111,Please help support us with cryptocurrency donations. Thank you!,Please help us support with cryptocurrency donations. Thank you!,"Are all original techniques still present, unchanged? ()",,,
112,But firing Mueller would likely send a signal to Democrats that the White House is worried about potential blowback from a Manafort conviction just three months before the congressional midterm elections.,But firing Mueller would likely send a signal to Democrats that the White House is worried about   from a Manafort conviction just three months before the congressional midterm elections.,Is Loaded_Language ABSENT in the edited text?,,,
113,"Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.","Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was  ), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Is Exaggeration-Minimisation ABSENT in the edited text?,,,
114,Hungarian Prime Minister: ‘Christianity is Europe’s last hope’,Prime Hungarian Minister: ‘Christianity is Europe’s last hope’,"Are all original techniques still present, unchanged? (Slogans)",,,
115,,Email This field is for validation purposes and should be left unchanged. Completing this poll grants you access to Truth Uncensored updates free of charge. You may opt out at anytime. “They used me as an example because of [the backlash over] Hillary Clinton.”  You also agree to this site's Privacy Policy and Terms of Use.,Is Causal_Oversimplification PRESENT in the edited text?,,,
116,"As I said above, Russiagate is an orchestratration to prevent peace between the US and Russia. Leading military/security complex experts, including the person who provided the CIA’s daily briefing of the President of the United States for many years, and the person who devised the spy program for the National Security Agency, have proven conclusively that Russiagate is a hoax designed for the purpose of preventing President Trump from normalizing relations between the US and Russia, which has the power to destroy the entirety of the Western World at will.","As I said above,  . Leading military/security complex experts, including the person who provided the CIA’s daily briefing of the President of the United States for many years, and the person who devised the spy program for the National Security Agency, have proven conclusively that Russiagate is a hoax designed for the purpose of preventing President Trump from normalizing relations between the US and Russia, which has the power to destroy the entirety of the Western World at will.",Is Name_Calling-Labeling PRESENT in the edited text?,,,
117,The Guardian has become a main outlet for British government disinformation operations aimed at defaming Russia. It smeared Assange and Snowden as Russian collaborators. It uncritically peddled the Russiagate story and the nonsensical Skripal claims which are both obviously concocted by British intelligence services. That seems to have become its main purpose.,The Guardian has become  Once again the media are blaming the messenger instead of dealing with Islamic violence . It smeared Assange and Snowden as Russian collaborators. It uncritically peddled the Russiagate story and the nonsensical Skripal claims which are both obviously concocted by British intelligence services. That seems to have become its main purpose.,Is Whataboutism PRESENT and Name_Calling-Labeling still present?,,,
118,,It doesn’t take to tell him to obey or else  much to trigger these people.,Is Appeal_to_Fear-Prejudice PRESENT in the edited text?,,,
119,"Former San Antonio, Texas mayor and former Housing and Urban Development Secretary Julian Castro tweeted that the “American people deserve to know the full truth about Russia’s interference in our democracy.","Former San Antonio, Texas mayor and former Housing and Urban Development Secretary Julian Castro tweeted that the “ Stop Soros .",Is Slogans PRESENT and Flag_Waving absent?,,,
120,"As an aside, one of the more vocal proponents of BDS at McGill is a rancid character named Igor Sadikov, who in February posted a comment on twitter advocating violence against “Zionists.” As a result, he was forced to resign his position as an SSMU director but dodged an impeachment effort to have him stripped of his position at McGill’s Arts Undergraduate Society. Sadikov made light of his “punch a Zionist” tweet calling it a “misguided joke.” It does not appear that Sadikov was subjected to any form of school disciplinary action despite the fact that his call for violence violated McGill’s Code of Conduct.","As an aside, one of the more vocal proponents of BDS at McGill is a rancid character named Igor Sadikov, who in February posted a comment on twitter advocating violence against “Zionists.” As a result, he was forced to resign his position as an SSMU director but dodged an impeachment effort to have him stripped of his position at McGill’s Arts Undergraduate Society. Sadikov made light of his “punch a Zionist” tweet calling it a “ .” It does not appear that Sadikov was subjected to any form of school disciplinary action despite the fact that his call for violence violated McGill’s Code of Conduct.",Is Loaded_Language ABSENT in the edited text?,,,
121,,"“Fox News supports CNN in its legal effort to regain its White House reporter’s press credential. We intend to file an amicus the Bible contains material that is just as bad or worse  brief with the U.S. District Court. Secret Service passes for working White House journalists should never be weaponized. While we don’t condone the growing antagonistic tone by both the president and the press at recent media avails, we do support a free press, access and open exchanges for the American people.""",Is Whataboutism PRESENT in the edited text?,,,
122,"In a recent communication between Randy Credico, an Assange supporter, comic and radio producer, and Adam Schiff, the ranking member on the House Judiciary Committee, Assange’s fear of arrest and extradition to the US was confirmed by the leader of the Russia-gate frenzy.","In a recent communication between Randy Credico, an Assange supporter, comic and radio producer, and Adam Schiff, the ranking member on the House Judiciary Committee, Assange’s fear of arrest and extradition to the US was confirmed by  very high .",Is Appeal_to_Fear-Prejudice PRESENT and Name_Calling-Labeling absent?,,,
123,,"By If these two men had survived, and Quentin Lamar Smith had died, you'd be hearing a lot about the race issue  Karista Baldwin, Conservative Tribune November 15, 2018:",Is Appeal_to_Hypocrisy PRESENT in the edited text?,,,
124,"This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean satrap. In case North Korea failed to get the message, the second exercise is code-named ‘Maximum Thunder.’","This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean  . In case North Korea failed to get the message, the second exercise is code-named ‘Maximum Thunder.’",Is Loaded_Language ABSENT in the edited text?,,,
125,Dina Powell is everything that was wrong with the Bush administration.,.,Is Exaggeration-Minimisation ABSENT in the edited text?,,,
126,"TRAVIS AIR FORCE BASE, Calif. (KGO) — A man who drove into Travis AFB has been identified as 51-year-old Hafiz Kazi, two sources with knowledge of the probe tell ABC News. The sources described Kazi as a “nomad” and a “vagabond,” who lived in many places. Authorities extracted a video from his cell phone and are analyzing it to try and see if it could help point to a motive. Sources wouldn’t offer any details about the video. The FBI is holding a press conference Friday at 3:30 p.m. and will be asking the public for help and any information about Kazi. Sources say the information gathered so far still does not point to a concrete motive, with one source calling the man a “mystery” still. Terrorism, mental health issues, and everything else are still on the table as authorities try to uncover a motive. On Wednesday, the car crashed at the main gate of Travis Air Force Base. Officials are treating it as a possible attempted attack. The FBI is now leading the investigation. “The car basically blew up,” said witness Kamren Hernandez. ” It was nothing anymore.” Hernandez couldn’t believe what he witnessed from his family’s restaurant just feet from the main gate at Travis Air Force Base — a black SUV exploding seconds after breaching security gates. Hernandez’ father, Lamar, saw it too. “It kept exploding — boom boom. Kept on going.” Travis Air Force Base officials are investigating a security incident that occurred at the main gate on Wednesday…. A U.S. official tells ABC News it appears the driver had propane tanks in the vehicle, which they may have ignited deliberately….","TRAVIS AIR FORCE BASE, Calif. (KGO) — A man who drove into Travis AFB has been identified as 51-year-old Hafiz Kazi, two sources with knowledge of the probe tell ABC News. The sources described Kazi as a “nomad” and a “vagabond,” who lived in many places. Authorities extracted a video from his cell phone and are analyzing it to try and see if it could help point to a motive. Sources wouldn’t offer any details about the video. The FBI is holding a press conference Friday at 3:30 p.m. and will be asking the public for help and any information about Kazi. Sources say the information gathered so far still does not point to a concrete motive, with one source calling the man a “mystery” still. Terrorism, mental health issues, and everything else are still on the table as authorities try to uncover a motive. On Wednesday, the car crashed at the main gate of Travis Air Force Base. Officials are treating it as a possible attempted attack. The FBI is now leading the investigation. “The car basically blew up,” said witness Kamren Hernandez. ”  .” Hernandez couldn’t believe what he witnessed from his family’s restaurant just feet from the main gate at Travis Air Force Base — a black SUV exploding seconds after breaching security gates. Hernandez’ father, Lamar, saw it too. “It kept exploding — boom boom. Kept on going.” Travis Air Force Base officials are investigating a security incident that occurred at the main gate on Wednesday…. A U.S. official tells ABC News it appears the driver had propane tanks in the vehicle, which they may have ignited deliberately….",Is Exaggeration-Minimisation ABSENT in the edited text?,,,
127,"On Friday, Rossello and Gonzalez said the island would receive a total of $11 billion under CDBG, a program run by the U.S. Department of Housing and Urban Development. The additional portion would be used to help local businesses and repair and build new homes, they said.","On Friday, Rossello and Gonzalez said the island would receive a total portion $11 billion under CDBG, a program run by the U.S. Department of Housing and Urban Development. The additional of would be used to help local businesses and repair and build new homes, they said.","Are all original techniques still present, unchanged? ()",,,
128,"But according to the Navy, the past five months have witnessed markedly less belligerent conduct from the Iranians, leaving Navy officials baffled by the sudden positive change in attitude. In fact, Iran’s attitude adjustment in the Arabian Gulf is no mystery and stems from the Trump administration’s implementation of a new robust foreign policy vis-à-vis the Islamic Republic.","But according to the Navy, the past five months have witnessed markedly less belligerent conduct from the Iranians, leaving Navy officials baffled by the sudden positive change in attitude. In fact, Iran’s attitude adjustment in the Arabian Gulf is no mystery and stems from the Trump administration’s implementation of a new foreign robust policy vis-à-vis the Islamic Republic.","Are all original techniques still present, unchanged? ()",,,
